R_ohm,P_mW
474022.64225090767,1.0134395725888101
499608.86631885933,0.962441303443448
526576.1528165439,0.9139658212542315
554999.0470707652,0.8678926460506303
584956.11812632,0.8241066209225332
616530.175933409,0.7824977206388675
649808.5002581279,0.7429608624324991
684883.0819488135,0.7053957195356947
721850.8772251754,0.6697065379604605
760814.0756931395,0.6358019569374536
801880.3828262751,0.6035948333550207
845163.3176946664,0.5730020704756305
890782.526764226,0.5439444511497982
938864.1146339077,0.5163464756969041
989540.9926250376,0.4901362045775801
1042953.2461863896,0.4652451059428887
1099248.5221306086,0.4416079081109977
1158582.436772414,0.41916245699186894
1221119.0060968,0.3978495784542793
1287031.0991463328,0.3776129456068353
1356500.915880846,0.3583989509451865
1429720.4908304699,0.34015658330106274
1506892.2239342385,0.3228373095147272
1588229.440031669,0.3063949607407074
1673956.978553886,0.29078562328695684
1764311.815044419,0.27596753387970313
1859543.716227668,0.2619009792399654
1959915.9304358843,0.2485481998528143
2065705.9153031833,0.23587329780684066
2177206.1047381517,0.22384214857874196
2294724.717295179,0.21242231663635633
2418586.6081790826,0.2015829747327166
2549134.1672382173,0.19129482676366685
2686728.265428373,0.1815300340621688
2831749.2523637665,0.17226214500355028
2984598.007712637,0.1634660277975208
3145697.0493438104,0.15511780634473968
3315491.701287467,0.14719479903799915
3494451.3247386888,0.1396754603906292
3683070.6155066364,0.13253932537749047
3881870.9714958863,0.12576695637684868
4091401.93399999,0.1193398926044929
4312242.706791523,0.1132406019346172
4545003.757207669,0.10745243500522488
4790328.503657321,0.10195958150908968
5048895.094214394,0.09674702857460782
5321418.281213916,0.09180052114418083
5608651.397032811,0.08710652426105592
5911388.436516998,0.08265218717881372
6230466.251811239,0.0784253092109136
6566766.865658864,0.07441430724087793
6921219.909566023,0.07060818481680872
7294805.19357022,0.06699650275697652
7688555.414716724,0.063569351196196
8103559.011729877,0.06031732300560102
8540963.173770411,0.05723148852125127
9001977.011595782,0.05430337151973997
9487874.899889745,0.051524926381622135
10000000.0,0.04888851638605502
